index,col0,col1
0,risktxnmsgd,rbo-common-7.93-raptor
1,riskudgopserv,rbo-common-7.130-RUDS
2,riskudfifoserv,rbo-common-7.131-RUDS
3,risk3dsauthserv,rbo-common-7.123-RUDS
4,riskauthevalserv,rbo-common-7.103-raptor
5,riskliteraptserv,rbo-common-7.103-raptor
6,riskselfhelpserv,rbo-common-7.94-RUDS
7,riskassetevalserv,rbo-common-7.97-RUDS
8,riskudconsentserv,rbo-common-7.118-RUDS
9,riskudauthevalserv,rbo-common-7.131-RUDS
10,riskudcasemgmtserv,rbo-common-7.129-RUDS
11,yamprofileriskmsgd,rbo-common-7.114-RUDS
12,compentityscoreserv,rbo-common-7.113-RUDS
13,compplanningdecserv,rbo-common-5.65-raptor
14,enterpriserecomserv,rbo-common-7.18-RUDS
15,profileriskevalserv,rbo-common-7.129-RUDS
16,riskcrmerchdecision,rbo-common-7.80-raptor
17,riskudrepayevalserv,rbo-common-7.133-RUDS
18,riskunifiedevalserv,rbo-common-7.117-RUDS
19,compliancepolicyserv,rbo-common-7.114-RUDS
20,riskcasedecisionserv,rbo-common-4.31-raptor
21,riskcrconsumeruwserv,rbo-common-7.11-raptor
22,riskplanningraptserv,rbo-common-7.131-raptor
23,riskudconsumercrserv,rbo-common-7.114-RUDS
24,riskudfundsavailserv,rbo-common-7.133-RUDS
25,riskudlimitationserv,rbo-common-7.133-RUDS
26,riskudonboardingserv,rbo-common-7.129-RUDS
27,riskudrecoveriesserv,rbo-common-7.127-RUDS
28,riskudremittanceserv,rbo-common-7.130-RUDS
29,riskudresolutionserv,rbo-common-7.131-RUDS
30,boroutingdecisionserv,rbo-common-7.126-RUDS
31,clctnnotificationserv,rbo-common-7.113-RUDS
32,foroutingdecisionserv,rbo-common-7.126-RUDS
33,riskacquiringevalserv,rbo-common-7.124-RUDS
34,riskuddeferredpayserv,rbo-common-7.119-RUDS
35,riskudfifostandinserv,rbo-common-7.111-RUDS
36,compdisbursemntdecserv,rbo-common-7.81-RUDS
37,cropriskevaluationserv,rbo-common-7.106-RUDS
38,riskpaymentconsentserv,rbo-common-7.100-raptor
39,riskprotectionevalserv,rbo-common-7.80-RUDS
40,riskrefunddecisionserv,rbo-common-7.113-RUDS
41,riskudstransactionserv,rbo-common-7.127-RUDS
42,riskunbrandtxnevalserv,rbo-common-7.128-raptor
43,riskunifiedecisionserv,rbo-common-7.107-RUDS
44,riskunifiedpaymentserv,rbo-common-7.131-RUDS
45,riskunifiedstandinserv,rbo-common-7.77-RUDS
